anime_id,title,image_url,genre,aired_from_year,Vampire,Supernatural,Parody,Mystery,Game,Shounen Ai,Action,Dementia,Shounen,Harem,Shoujo,Seinen,Yaoi,Hentai,Military,Cars,School,Drama,Space,Comedy,Horror,Samurai,Adventure,Sci-Fi,Ecchi,Thriller,Shoujo Ai,NULL,Fantasy,Music,Martial Arts,Yuri,Sports,Historical,Slice of Life,Police,Mecha,Magic,Super Power,Demons,Josei,Kids,Romance,Psychological
11013,Inu x Boku SS,https://myanimelist.cdn-dena.com/images/anime/12/35893.jpg,"Comedy, Supernatural, Romance, Shounen",2012.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2104,Seto no Hanayome,https://myanimelist.cdn-dena.com/images/anime/13/58383.jpg,"Comedy, Parody, Romance, School, Shounen",2007.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5262,Shugo Chara!! Doki,https://myanimelist.cdn-dena.com/images/anime/11/10645.jpg,"Comedy, Magic, School, Shoujo",2008.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
721,Princess Tutu,https://myanimelist.cdn-dena.com/images/anime/13/32209.jpg,"Comedy, Drama, Magic, Romance, Fantasy",2002.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
12365,Bakuman. 3rd Season,https://myanimelist.cdn-dena.com/images/anime/6/41845.jpg,"Comedy, Drama, Romance, Shounen",2012.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6586,Yume-iro Pâtissière,https://myanimelist.cdn-dena.com/images/anime/12/21674.jpg,"Kids, School, Shoujo",2009.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
178,Ultra Maniac,https://myanimelist.cdn-dena.com/images/anime/8/53571.jpg,"Magic, Comedy, Romance, School, Shoujo",2003.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2787,Shakugan no Shana II (Second),https://myanimelist.cdn-dena.com/images/anime/10/18669.jpg,"Action, Drama, Fantasy, Romance, School, Supernatural",2007.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4477,Nodame Cantabile: Paris-hen,https://myanimelist.cdn-dena.com/images/anime/4/11918.jpg,"Music, Slice of Life, Comedy, Romance, Josei",2008.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
853,Ouran Koukou Host Club,https://myanimelist.cdn-dena.com/images/anime/2/71992.jpg,"Comedy, Harem, Romance, School, Shoujo",2006.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4814,Junjou Romantica 2,https://myanimelist.cdn-dena.com/images/anime/6/38417.jpg,"Comedy, Drama, Romance, Shounen Ai",2008.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7054,Kaichou wa Maid-sama!,https://myanimelist.cdn-dena.com/images/anime/6/25254.jpg,"Comedy, Romance, School, Shoujo",2010.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11123,Sekaiichi Hatsukoi 2,https://myanimelist.cdn-dena.com/images/anime/8/34871.jpg,"Comedy, Drama, Romance, Shounen Ai",2011.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14227,Tonari no Kaibutsu-kun,https://myanimelist.cdn-dena.com/images/anime/4/39779.jpg,"Slice of Life, Comedy, Romance, School, Shoujo",2012.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
269,Bleach,https://myanimelist.cdn-dena.com/images/anime/3/40451.jpg,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen",2004.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
59,Chobits,https://myanimelist.cdn-dena.com/images/anime/4/24648.jpg,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen",2002.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
